application_number,child_application_number,child_filing_date,continuation_type
60428944,PCT/US03/37607,2003-11-26,PRO
60428944,10660734,2003-09-12,PRO
60428945,10424535,2003-04-25,PRO
60428945,PCT/US03/37932,2003-11-26,PRO
60428947,10409708,2003-04-04,PRO
60428958,PCT/US03/37894,2003-11-25,PRO
60428958,10550223,2006-06-09,PRO
60428963,10625861,2003-07-23,PRO
60428963,12760993,2010-04-15,PRO
60428963,11772574,2007-07-02,PRO
60428963,12760972,2010-04-15,PRO
60428963,PCT/US03/23034,2003-07-23,PRO
60428974,10373323,2003-02-24,PRO
60428977,13310727,2011-12-03,PRO
60428977,14103938,2013-12-12,PRO
60428977,12502730,2009-07-14,PRO
60428977,95002017,2012-09-14,PRO
60428977,10719889,2003-11-21,PRO
60428977,13478814,2012-08-06,PRO
60428977,14269223,2014-05-05,PRO
60428977,12763419,2010-04-20,PRO
60428978,10719494,2003-11-21,PRO
60428981,10722262,2003-11-25,PRO
60428983,12111164,2008-04-28,PRO
60428983,10707180,2003-11-25,PRO
60428988,10644984,2003-08-20,PRO
60428990,10536765,2006-04-17,PRO
60428990,PCT/US03/37846,2003-11-26,PRO
60428993,10722368,2003-11-24,PRO
60428993,PCT/US03/37862,2003-11-24,PRO
60428993,11452004,2006-06-12,PRO
60428994,13220390,2011-08-29,PRO
60428994,10419712,2003-04-20,PRO
60428994,12104275,2008-04-16,PRO
60428994,13675268,2012-11-13,PRO
60428994,11803235,2007-05-14,PRO
60428994,12769450,2010-04-28,PRO
60428998,10608651,2003-06-27,PRO
60428998,10609033,2003-06-27,PRO
60428998,10608664,2003-06-27,PRO
60428999,PCT/US03/37477,2003-11-25,PRO
60428999,11134204,2005-05-20,PRO
60429000,10440938,2003-05-19,PRO
60429004,10721807,2003-11-25,PRO
60429006,10688489,2003-10-16,PRO
60429006,PCT/US03/33639,2003-10-16,PRO
60429006,13032464,2011-02-22,PRO
60429006,11519359,2006-09-11,PRO
60429006,14273835,2014-05-09,PRO
60429010,10627406,2003-07-24,PRO
60429010,PCT/US03/23198,2003-07-24,PRO
60429010,PCT/US03/23199,2003-07-24,PRO
60429010,10627405,2003-07-24,PRO
60429011,11796909,2007-04-30,PRO
60429011,10403834,2003-03-31,PRO
60429012,12102642,2008-04-14,PRO
60429012,10658055,2003-09-08,PRO
60429012,11132002,2005-05-17,PRO
60429012,11131601,2005-05-17,PRO
60429012,13470635,2012-05-14,PRO
60429014,PCT/IL03/00991,2003-11-24,PRO
60429014,10536435,2005-05-26,PRO
60429018,10423447,2003-04-28,PRO
60429020,12497836,2009-07-06,PRO
60429020,10389603,2003-03-17,PRO
60429020,11501251,2006-08-09,PRO
60429023,10723060,2003-11-26,PRO
60429026,10536197,2005-05-24,PRO
60429026,PCT/US03/38145,2003-11-25,PRO
60429029,10714735,2003-11-17,PRO
60429030,10722352,2003-11-24,PRO
60429031,10619830,2003-07-15,PRO
60429031,10317259,2002-12-11,PRO
60429031,PCT/US03/08047,2003-03-14,PRO
60429033,10723440,2003-11-25,PRO
60429033,PCT/US03/37832,2003-11-25,PRO
60429038,10401911,2003-03-28,PRO
60429040,10715874,2003-11-18,PRO
60429044,11928264,2007-10-30,PRO
60429044,11199130,2005-08-09,PRO
60429044,11769418,2007-06-27,PRO
60429044,11735908,2007-04-16,PRO
60429044,10804090,2004-03-19,PRO
60429044,12104191,2008-04-16,PRO
60429044,11002276,2004-12-03,PRO
60429044,11231772,2005-09-22,PRO
60429044,10682435,2003-10-10,PRO
60429044,PCT/US03/32403,2003-10-10,PRO
60429046,10718948,2003-11-20,PRO
60429046,PCT/US03/37416,2003-11-20,PRO
60429048,10352684,2003-01-28,PRO
60429048,PCT/US03/02484,2003-01-28,PRO
60429049,PCT/US03/37540,2003-11-24,PRO
60429049,13032954,2011-02-23,PRO
60429049,10720510,2003-11-24,PRO
60429050,10701404,2003-11-03,PRO
60429050,10701356,2003-11-03,PRO
60429050,10701353,2003-11-03,PRO
60429050,10701346,2003-11-03,PRO
60429050,10702073,2003-11-03,PRO
60429050,13772011,2013-02-20,PRO
60429050,12106272,2008-04-19,PRO
60429050,10701376,2003-11-03,PRO
60429050,10701400,2003-11-03,PRO
60429050,10701155,2003-11-03,PRO
60429050,10701154,2003-11-03,PRO
60429050,10701392,2003-11-03,PRO
60429050,10701381,2003-11-03,PRO
60429051,14307876,2014-06-18,PRO
60429051,12534695,2009-08-03,PRO
60429051,14012863,2013-08-28,PRO
60429051,PCT/US03/36234,2003-11-12,PRO
60429053,10631934,2003-07-31,PRO
60429053,10779365,2004-02-13,PRO
60429055,10531057,2005-04-12,PRO
60429055,PCT/US03/37884,2003-11-25,PRO
60429056,10718260,2003-11-20,PRO
60429058,10386073,2003-03-11,PRO
60429060,10535444,2006-10-31,PRO
60429060,PCT/US03/37557,2003-11-24,PRO
60429060,PCT/US03/37546,2003-11-24,PRO
60429062,10720930,2003-11-24,PRO
60429062,PCT/US03/37472,2003-11-25,PRO
60429064,10523819,2005-08-29,PRO
60429064,PCT/US03/22501,2003-08-08,PRO
60429065,10721393,2003-11-25,PRO
60429066,10720175,2003-11-25,PRO
60429066,11191952,2005-07-29,PRO
60429066,11790354,2007-04-25,PRO
60429067,PCT/US03/37513,2003-11-24,PRO
60429067,10720059,2003-11-25,PRO
60429068,PCT/US03/37942,2003-11-24,PRO
60429068,10722104,2003-11-25,PRO
60429069,12585666,2009-09-21,PRO
60429069,13243305,2011-09-23,PRO
60429069,PCT/US03/35971,2003-11-24,PRO
60429069,13596799,2012-08-28,PRO
60429075,10626947,2003-07-25,PRO
60429075,PCT/US03/37154,2003-11-20,PRO
60429076,10720698,2003-11-25,PRO
60429077,10459420,2003-06-11,PRO
60429077,12761576,2010-04-16,PRO
60429077,PCT/US03/18401,2003-06-11,PRO
60429078,PCT/US03/37769,2003-11-26,PRO
60429078,11413360,2006-04-28,PRO
60429078,10722869,2003-11-26,PRO
60429079,10718537,2003-11-24,PRO
60429080,12767755,2010-04-26,PRO
60429080,13937030,2013-07-08,PRO
60429080,10719098,2003-11-21,PRO
60429081,10644702,2003-08-20,PRO
60429082,11820518,2007-06-20,PRO
60429082,10672655,2003-09-25,PRO
60429082,PCT/US03/33767,2003-10-24,PRO
60429083,10723045,2003-11-26,PRO
60429084,10390313,2003-03-17,PRO
60429086,10723308,2003-11-26,PRO
60429086,14287920,2014-05-27,PRO
60429086,12098150,2008-04-04,PRO
60429086,12098191,2008-04-04,PRO
60429088,10721312,2003-11-25,PRO
60429088,11931126,2007-10-31,PRO
60429088,11928271,2007-10-30,PRO
60429088,11881595,2007-07-27,PRO
60429088,PCT/US03/37460,2003-11-25,PRO
60429089,11929816,2007-10-30,PRO
60429089,11929750,2007-10-30,PRO
60429089,11924587,2007-10-25,PRO
60429089,11929536,2007-10-30,PRO
60429089,11929652,2007-10-30,PRO
60429089,11929774,2007-10-30,PRO
60429089,11929601,2007-10-30,PRO
60429089,PCT/US03/37783,2003-11-26,PRO
60429089,11222986,2005-09-08,PRO
60429089,10723795,2003-11-26,PRO
60429093,PCT/US03/37598,2003-11-20,PRO
60429093,12367322,2009-02-06,PRO
60429093,10536287,2005-07-08,PRO
60429093,10853808,2004-05-26,PRO
60429094,10723627,2003-11-26,PRO
60429095,PCT/US03/38197,2003-11-26,PRO
60429095,10536506,2006-04-03,PRO
60429096,PCT/US03/37433,2003-11-20,PRO
60429096,10646074,2003-08-22,PRO
60429096,11150074,2005-06-10,PRO
60429097,11534512,2006-09-22,PRO
60429099,10723048,2003-11-25,PRO
60429101,10641833,2003-08-15,PRO
60429101,11540834,2006-09-29,PRO
60429105,12393284,2009-02-26,PRO
60429105,12894644,2010-09-30,PRO
60429105,14069447,2013-11-01,PRO
60429105,PCT/US03/37461,2003-11-25,PRO
60429105,10536416,2005-05-25,PRO
60429105,13764126,2013-02-11,PRO
60429106,10721963,2003-11-25,PRO
60429109,10721476,2003-11-25,PRO
60429109,PCT/US03/37680,2003-11-25,PRO
60429114,PCT/US03/35989,2003-11-12,PRO
60429114,11039533,2005-01-20,PRO
60429114,10645817,2003-08-21,PRO
60429115,12758332,2010-04-12,PRO
60429115,10411354,2003-04-09,PRO
60429115,11472507,2006-06-20,PRO
60429115,12906614,2010-10-18,PRO
60429115,PCT/US03/11214,2003-04-09,PRO
60429115,11020651,2004-12-23,PRO
60429115,PCT/US02/41680,2002-12-24,PRO
60429116,10602183,2003-06-23,PRO
60429118,10536058,2005-05-24,PRO
60429118,PCT/US03/35904,2003-11-12,PRO
60429120,10639344,2003-08-12,PRO
60429120,12231942,2008-09-08,PRO
60429120,PCT/US02/41771,2002-12-31,PRO
60429120,10318877,2002-12-13,PRO
60429120,90009529,2009-12-10,PRO
60429120,10717764,2003-11-20,PRO
60429122,10723610,2003-11-26,PRO
60429122,10723423,2003-11-26,PRO
60429122,12501606,2009-07-13,PRO
60429122,PCT/US03/37964,2003-11-26,PRO
60429122,PCT/US03/37965,2003-11-26,PRO
60429122,PCT/US03/37790,2003-11-26,PRO
60429122,10723431,2003-11-26,PRO
60429123,10712365,2003-11-12,PRO
60429123,11670892,2007-02-02,PRO
60429124,10721941,2003-11-25,PRO
60429126,10720811,2003-11-24,PRO
60429127,10684246,2003-10-10,PRO
60429127,11777045,2007-07-12,PRO
60429129,10733681,2003-12-11,PRO
60429129,10371107,2003-02-21,PRO
60429129,10839640,2004-05-05,PRO
60429129,10838019,2004-05-03,PRO
60429129,10371847,2003-02-21,PRO
60429130,10720821,2003-11-24,PRO
60429130,10727306,2003-12-03,PRO
60429130,PCT/US03/37537,2003-11-24,PRO
60429132,10723976,2003-11-26,PRO
60429133,10719812,2003-11-21,PRO
60429134,PCT/US03/37771,2003-11-26,PRO
60429134,10723981,2003-11-26,PRO
60429135,10669616,2003-09-24,PRO
60429136,10722939,2003-11-25,PRO
60429136,12400724,2009-03-09,PRO
60429136,10723683,2003-11-25,PRO
60429136,10723670,2003-11-25,PRO
60429136,10723142,2003-11-25,PRO
60429136,PCT/US03/37831,2003-11-25,PRO
60429136,10723681,2003-11-25,PRO
60429136,PCT/US03/37949,2003-11-25,PRO
60429136,PCT/US03/37989,2003-11-25,PRO
60429136,10723518,2003-11-25,PRO
60429136,PCT/US03/37943,2003-11-25,PRO
60429136,PCT/US03/37966,2003-11-25,PRO
60429136,PCT/US03/37948,2003-11-25,PRO
60429137,10989803,2004-11-17,PRO
60429137,PCT/US03/20628,2003-07-01,PRO
60429137,10535377,2006-02-14,PRO
60429137,11937092,2007-11-08,PRO
60429137,13424856,2012-03-20,PRO
60429142,12625003,2009-11-24,PRO
60429142,10602562,2003-06-24,PRO
60429142,PCT/US03/19831,2003-06-24,PRO
60429143,10723028,2003-11-26,PRO
60429143,PCT/US03/37770,2003-11-26,PRO
60429151,10723933,2003-11-26,PRO
60429151,12689342,2010-01-19,PRO
60429151,PCT/US03/37996,2003-11-26,PRO
60429151,11813830,2008-02-18,PRO
60429151,10999761,2004-11-30,PRO
60429151,11138194,2005-05-26,PRO
60429152,10695007,2003-10-28,PRO
60429153,10452782,2003-05-30,PRO
60429154,10666021,2003-09-17,PRO
60429154,PCT/US03/29797,2003-09-17,PRO
60429155,10335587,2002-12-31,PRO
60429158,11502677,2006-08-10,PRO
60429158,13550778,2012-07-17,PRO
60429158,12987706,2011-01-10,PRO
60429158,13445046,2012-04-12,PRO
60429158,10655777,2003-09-05,PRO
60429158,12707713,2010-02-18,PRO
60429158,10655778,2003-09-05,PRO
60429158,10656091,2003-09-05,PRO
60429158,11480085,2006-06-30,PRO
60429160,PCT/US03/37694,2003-11-25,PRO
60429160,10643440,2003-08-19,PRO
60429160,10721698,2003-11-25,PRO
60429163,10723426,2003-11-25,PRO
60429164,PCT/US03/37841,2003-11-25,PRO
60429164,12652148,2010-01-05,PRO
60429166,12767701,2010-04-26,PRO
60429166,10660461,2003-09-10,PRO
60429168,PCT/US03/28707,2003-09-10,PRO
60429168,10861003,2004-06-03,PRO
60429168,10660434,2003-09-10,PRO
60429169,13368468,2012-02-08,PRO
60429169,12615708,2009-11-10,PRO
60429169,11511934,2006-08-28,PRO
60429169,10722304,2003-11-25,PRO
60429170,10719925,2003-11-20,PRO
60429172,10721612,2003-11-25,PRO
60429172,PCT/US03/37636,2003-11-24,PRO
60429173,12331720,2008-12-10,PRO
60429173,12706739,2010-02-17,PRO
60429173,10695597,2003-10-28,PRO
60429174,PCT/US03/38175,2003-11-25,PRO
60429174,10722843,2003-11-25,PRO
60429174,10723144,2003-11-25,PRO
