application_number,foreign_parent_id,foreign_parent_date,parent_country_code,parent_country
08513664,88109705,1988-11-24,CN,CHINA
08513665,2-225349,1990-08-29,JP,JAPAN
08513668,4-147031,1992-06-08,JP,JAPAN
08513668,4-147030,1992-06-08,JP,JAPAN
08513668,4-147029,1992-06-08,JP,JAPAN
08513668,4-159070,1992-06-18,JP,JAPAN
08513669,PCT/EP91/00994,1991-05-29,US,UNITED STATES OF AMERICA
08513669,40117A/90,1990-09-03,IT,ITALY
08513670,5-159936,1993-06-07,JP,JAPAN
08513680,PM4482,1994-03-15,AU,AUSTRALIA
08513680,PM4397,1994-03-11,AU,AUSTRALIA
08513680,77766/94(65611,1994-11-10,AU,AUSTRALIA
08513683,P 43 07 237.2,1993-03-08,DE,GERMANY
08513687,TV94A000102,1994-08-25,IT,ITALY
08513692,94-19921,1994-08-12,KR,REPUBLIC OF KOREA
08513694,94 10378,1994-08-29,FR,FRANCE
08513702,5-215869,1993-08-31,JP,JAPAN
08513703,P 44 29 467.0,1994-08-19,DE,GERMANY
08513719,"HEI 6-190,281",1994-08-12,JP,JAPAN
08513720,224062/1994,1994-08-25,JP,JAPAN
08513721,P05-107266,1993-04-12,JP,JAPAN
08513722,7-021865,1995-02-09,JP,JAPAN
08513722,6-190463,1994-08-12,JP,JAPAN
08513724,P4429393.3-25,1994-08-11,DE,GERMANY
08513725,211839/1994,1994-08-12,JP,JAPAN
08513736,4-215907,1992-08-13,JP,JAPAN
08513737,94 09949,1994-08-11,FR,FRANCE
08513739,P 44 28 901.4,1994-08-19,DE,GERMANY
08513740,P 44 28 595.7,1994-08-12,DE,GERMANY
08513743,9416349.0,1994-08-12,GB,UNITED KINGDOM
08513748,6-314392,1994-12-19,JP,JAPAN
08513749,93/02373,1993-03-02,FR,FRANCE
08513749,93/11485,1993-09-28,FR,FRANCE
08513752,930787,1993-03-04,NO,NORWAY
08513753,9304351.1,1993-03-03,GB,UNITED KINGDOM
08513755,70849/1993,1993-03-05,JP,JAPAN
08513755,75336/1993,1993-03-09,JP,JAPAN
08513756,94/00742,1994-01-25,FR,FRANCE
08513756,93/02677,1993-03-09,FR,FRANCE
08513757,9303743.0,1993-02-24,GB,UNITED KINGDOM
08513758,P 43 12 526.3,1993-04-16,DE,GERMANY
08513758,P 43 06 109.5,1993-02-27,DE,GERMANY
08513759,9303540.0,1993-02-22,GB,UNITED KINGDOM
08513759,9303843.8,1993-02-25,GB,UNITED KINGDOM
08513760,5 333574,1993-12-27,JP,JAPAN
08513761,PI9305363,1993-12-27,BR,BRAZIL
08513762,FR 93/15633,1993-12-24,FR,FRANCE
08513763,"08/027,813",1993-03-08,US,UNITED STATES OF AMERICA
08513764,09300161,1993-02-19,BE,BELGIUM
08513765,P 43 43 846.6,1993-12-22,DE,GERMANY
08513765,P 44 26 695.2,1994-07-28,DE,GERMANY
08513766,P 43 41 934.8,1993-12-09,DE,GERMANY
08513767,9323404.5,1993-11-12,GB,UNITED KINGDOM
08513768,9304399.0,1993-03-04,GB,UNITED KINGDOM
08513769,P 43 14 622.8,1993-05-04,DE,GERMANY
08513770,5-354284,1993-12-30,JP,JAPAN
08513770,6-51283,1994-02-23,JP,JAPAN
08513770,6-51286,1994-02-23,JP,JAPAN
08513770,6-51287,1994-02-23,JP,JAPAN
08513770,6-51285,1994-02-23,JP,JAPAN
08513771,5-352933,1993-12-31,JP,JAPAN
08513773,9414901.0,1994-07-23,GB,UNITED KINGDOM
08513774,9306250.3,1993-03-25,GB,UNITED KINGDOM
08513774,9306252.9,1993-03-25,GB,UNITED KINGDOM
08513775,9401513.8,1994-01-27,GB,UNITED KINGDOM
08513776,6-117593,1994-05-07,JP,JAPAN
08513776,6-117594,1994-05-07,JP,JAPAN
08513776,6-117592,1994-05-07,JP,JAPAN
08513776,6-117588,1994-05-07,JP,JAPAN
08513777,9402529-3,1994-07-19,SE,SWEDEN
08513778,P 43 43 198.4,1993-12-17,DE,GERMANY
08513779,93.6024,1993-03-05,HU,HUNGARY
08513781,9304944.3,1993-03-11,GB,UNITED KINGDOM
08513784,9305088.8,1993-03-12,GB,UNITED KINGDOM
08513785,9304189.5,1993-03-02,GB,UNITED KINGDOM
08513786,P 43 10 295.6,1993-03-30,DE,GERMANY
08513787,9322579.5,1993-11-02,GB,UNITED KINGDOM
08513787,9400097.3,1994-01-05,GB,UNITED KINGDOM
08513787,9304279.4,1993-03-03,GB,UNITED KINGDOM
08513787,9307638.8,1993-04-14,GB,UNITED KINGDOM
08513787,9314419.4,1993-07-13,GB,UNITED KINGDOM
08513787,9324141.2,1993-11-24,GB,UNITED KINGDOM
08513788,PL 7462/93,1993-02-23,AU,AUSTRALIA
08513789,5/328733,1993-12-24,JP,JAPAN
08513789,5/316751,1993-12-16,JP,JAPAN
08513789,6/135740,1994-06-17,JP,JAPAN
08513790,P 43 06 127.3,1993-02-27,DE,GERMANY
08513791,9300736-7,1993-03-05,SE,SWEDEN
08513793,P 43 06 492.2,1993-03-03,DE,GERMANY
08513794,P 43 13 015.1,1993-04-21,DE,GERMANY
08513799,P 43 07 112.0,1993-03-06,DE,GERMANY
08513800,P 43 19 934.8,1993-06-16,DE,GERMANY
08513801,P 43 27 179.0,1993-08-13,DE,GERMANY
08513802,9400220.1,1994-01-07,GB,UNITED KINGDOM
08513803,9400239.1,1994-01-07,GB,UNITED KINGDOM
08513805,9320882.5,1993-10-11,GB,UNITED KINGDOM
08513805,9304701.7,1993-03-08,GB,UNITED KINGDOM
08513806,P6-034975,1994-03-04,JP,JAPAN
08513806,P6-037254,1994-03-08,JP,JAPAN
08513806,P6-017601,1994-02-14,JP,JAPAN
08513806,P6-017602,1994-02-14,JP,JAPAN
08513807,93/02977,1993-03-10,FR,FRANCE
08513809,93 16013,1993-12-29,FR,FRANCE
08513810,9402569.9,1994-02-10,GB,UNITED KINGDOM
08513811,940698,1994-03-01,NO,NORWAY
08513813,9300693-0,1993-03-02,SE,SWEDEN
