application_number,child_application_number,child_filing_date,continuation_type
29248555,29324531,2008-09-15,DIV
29248562,29323072,2008-08-17,CIP
29248591,29280045,2007-05-15,CON
29248591,29284914,2007-09-18,CIP
29248591,29284912,2007-09-18,CIP
29248591,29284916,2007-09-18,CIP
29248591,29284908,2007-09-18,CIP
29248591,29284917,2007-09-18,CIP
29248591,29284910,2007-09-18,CIP
29248591,29284918,2007-09-18,CIP
29248598,29302729,2008-01-23,CON
29248598,29295996,2007-10-11,CON
29248609,29324199,2008-09-08,CON
29248617,29277575,2007-03-01,DIV
29248617,29277574,2007-03-01,DIV
29248630,29282395,2007-07-18,CON
29248632,29281103,2007-06-14,DIV
29248648,29304215,2008-02-27,DIV
29248648,29304214,2008-02-27,DIV
29248666,29303612,2008-02-13,DIV
29248672,29367008,2010-08-02,DIV
29248685,11561606,2006-11-20,CIP
29248705,29282367,2007-07-18,CON
29248706,29295554,2007-10-01,DIV
29248706,29295552,2007-10-01,DIV
29248708,11620013,2007-01-04,CIP
29248709,11620013,2007-01-04,CIP
29248710,11620013,2007-01-04,CIP
29248735,29320092,2008-06-19,CIP
29248769,29318219,2008-05-15,DIV
29248781,29276418,2007-01-25,CON
29248781,29281093,2007-06-14,CIP
29248895,29296885,2007-10-30,DIV
29248898,29275940,2007-01-10,CON
29248898,29275937,2007-01-10,CIP
29248898,29275939,2007-01-10,CIP
29248928,29297838,2007-11-20,DIV
29248929,29326296,2008-10-15,DIV
29248946,29307353,2008-01-14,DIV
29248946,29301144,2008-01-14,DIV
29248950,29294555,2008-01-17,CON
29248953,29280642,2007-06-04,CIP
29248953,29280643,2007-06-04,CIP
29248956,29249500,2006-10-09,CIP
29248956,29331740,2009-01-30,CIP
29248957,29279109,2007-04-19,CIP
29248957,29279107,2007-04-19,CIP
29248963,29280388,2007-05-25,CON
29248975,29316045,2009-02-16,DIV
29248986,29288988,2007-06-29,CIP
29248986,29281708,2007-06-29,CIP
29248998,29295873,2007-10-09,CIP
29249017,11553674,2006-10-27,CIP
29249019,29295728,2007-10-04,CIP
29249058,29324530,2008-09-15,DIV
29249059,29276759,2007-02-03,CIP
29249102,29277619,2007-03-02,DIV
29249102,29403053,2011-09-30,DIV
29249129,PCT/US07/79157,2007-09-21,CON
29249138,29336231,2009-04-29,CIP
29249156,29304130,2008-02-26,DIV
