application_number,child_application_number,child_filing_date,continuation_type
06516222,07205011,1988-05-31,CIP
06516225,06880333,1986-06-24,CON
06516230,06784032,1985-10-04,CIP
06516258,06668697,1984-11-06,CON
06516285,06587838,1984-03-12,CIP
06516285,06713586,1985-03-19,CIP
06516288,06681548,1984-12-14,CIP
06516289,06939114,1986-12-08,CON
06516292,06724486,1985-04-18,CON
06516316,06808266,1985-12-12,DIV
06516319,07030421,1987-03-26,CIP
06516319,06727808,1985-04-26,CIP
06516319,06605104,1984-04-30,CIP
06516328,06674677,1984-11-26,CIP
06516331,06641174,1984-08-15,DIV
06516341,06528857,1983-09-02,CIP
06516349,06855521,1986-04-16,CIP
06516365,06722016,1985-04-11,CON
06516365,06822243,1986-01-24,CON
06516371,06817679,1986-01-08,CIP
06516371,06816993,1986-01-09,CON
06516382,07295663,1989-01-11,CIP
06516382,06733463,1985-05-13,CIP
06516382,07116583,1987-11-04,CIP
06516382,07076191,1987-07-21,CIP
06516382,07639283,1991-01-10,CIP
06516382,07967979,1992-10-28,CIP
06516382,07295938,1989-01-11,CIP
06516382,07766528,1991-09-27,CIP
06516382,06665940,1984-10-29,CIP
06516382,06632314,1984-07-19,CIP
06516382,07075830,1987-07-20,CIP
06516382,06666210,1984-10-29,CIP
06516384,07007454,1987-01-27,REI
06516384,90002528,1991-11-29,REI
06516392,06934584,1986-11-25,CON
06516414,06789927,1985-10-21,CIP
06516414,06621937,1984-06-22,CIP
06516435,06702658,1985-02-19,DIV
06516436,06602557,1984-04-20,DIV
06516440,06869447,1986-05-27,CON
06516440,07296876,1989-01-12,CON
06516440,07204917,1988-06-09,CON
06516443,06797756,1985-11-12,CON
06516444,06703468,1985-02-22,CON
06516454,06730319,1985-05-02,CIP
06516472,06564892,1983-12-23,CIP
06516477,07004186,1987-01-15,CIP
06516477,06631743,1984-07-17,CIP
06516478,06665619,1984-12-20,DIV
06516478,06665620,1984-12-20,DIV
06516484,06888172,1986-07-18,CIP
06516485,06880108,1986-06-30,CON
06516490,06890792,1986-07-23,CON
06516532,06877319,1986-06-23,CON
06516532,08483928,1995-06-07,CON
06516532,07818168,1992-01-08,CON
06516532,08111194,1993-08-24,CON
06516538,06721125,1985-04-08,CON
06516545,06718535,1985-04-01,CIP
06516545,06839910,1986-03-13,CIP
06516551,06582274,1984-02-22,CIP
06516557,06884990,1986-07-14,CON
06516573,06685749,1984-12-24,CIP
06516589,06830253,1986-02-18,CON
06516597,06619626,1984-06-11,DIV
06516600,07045451,1987-05-04,CON
06516608,06538823,1983-10-05,CIP
06516609,06737357,1985-07-22,DIV
06516622,06724054,1985-04-18,CON
06516624,07244540,1988-09-12,DIV
06516624,07053712,1987-05-26,DIV
06516629,06608313,1984-05-08,DIV
06516637,06689146,1985-01-07,CON
06516641,06803239,1985-12-02,CIP
06516641,07083949,1987-08-07,CIP
06516650,06725568,1985-04-22,CON
06516661,06723422,1985-04-15,CIP
06516661,06786818,1985-10-11,CON
06516661,06913634,1986-09-30,CIP
06516665,06626607,1984-07-06,CON
06516671,06652422,1984-09-19,CON
06516677,07214380,1988-07-01,CIP
06516677,06616239,1984-06-05,CIP
06516677,07015646,1987-02-17,CIP
06516684,06668670,1984-11-06,CIP
06516689,06616239,1984-06-05,CIP
