application_number,child_application_number,child_filing_date,continuation_type
09569140,PCT/US01/03612,2001-02-05,CON
09569140,09758764,2001-01-11,CIP
09569141,11376778,2006-03-15,CON
09569141,11148604,2005-06-09,CON
09569141,11784789,2007-04-10,CON
09569141,09892266,2001-06-27,CON
09569141,10737469,2003-12-16,CON
09569141,11977791,2007-10-26,CON
09569141,11543498,2006-10-05,CON
09569146,10633464,2003-07-31,REI
09569153,09888781,2001-06-25,CON
09569153,09891131,2001-06-25,CON
09569153,10818902,2004-04-06,CON
09569153,10209654,2002-07-30,CON
09569153,09888688,2001-06-25,CON
09569155,09919107,2001-07-31,DIV
09569158,PCT/US00/13153,2000-05-12,CON
09569159,11468734,2006-08-30,CON
09569163,09651804,2000-08-30,CON
09569164,10339876,2003-01-10,CON
09569166,12103627,2008-04-15,CON
09569176,10151438,2002-05-20,CON
09569177,10171887,2002-06-14,DIV
09569179,12254247,2008-10-20,CON
09569179,11876164,2007-10-22,CON
09569179,12695466,2010-01-28,CON
09569179,11422450,2006-06-06,CON
09569180,10696053,2003-10-28,CON
09569180,PCT/US00/35549,2000-12-28,CON
09569183,10367284,2003-02-14,DIV
09569185,10731633,2003-12-09,CON
09569189,10199385,2002-07-19,DIV
09569190,10607886,2003-06-27,DIV
09569190,10301202,2002-11-20,DIV
09569193,10609012,2003-06-27,CON
09569193,10057812,2002-01-24,CON
09569193,09727532,2000-11-28,CON
09569193,10701550,2003-11-05,CON
09569195,10275866,2002-11-08,CON
09569195,PCT/US01/15224,2001-05-11,CON
09569211,09921124,2001-08-02,DIV
09569211,10015457,2001-12-13,DIV
09569213,12966206,2010-12-13,CON
09569213,11581845,2006-10-16,CON
09569215,09924525,2001-08-08,CON
09569215,10616184,2003-07-07,CON
09569215,10159000,2002-05-30,CON
09569215,11387162,2006-03-23,CON
09569215,11604442,2006-11-27,CON
09569216,10035078,2001-12-28,CON
09569216,11237049,2005-09-27,CON
09569217,29123920,2000-05-26,CON
09569217,29123945,2000-05-26,CON
09569217,12723407,2010-03-12,CON
09569217,11868902,2007-10-08,CON
09569217,11401006,2006-04-10,CON
09569217,10424573,2003-04-28,CON
09569218,10930159,2004-08-31,CON
09569218,PCT/US01/10172,2001-03-30,CON
09569219,09668334,2000-09-22,CIP
09569219,10080084,2002-02-21,CIP
09569224,PCT/US01/02977,2001-01-30,CON
09569245,12905971,2010-10-15,CIP
09569245,09627206,2000-07-27,CIP
09569245,12952048,2010-11-22,CIP
09569245,11458968,2006-07-20,CIP
09569245,11200992,2005-08-10,CON
09569247,10719366,2003-11-21,CON
09569253,09852507,2001-05-10,DIV
09569259,09654462,2000-09-01,CIP
09569269,11351523,2006-02-08,CIP
09569269,10635149,2003-08-06,CIP
09569269,10004415,2001-10-31,CON
09569269,11005836,2004-12-06,CIP
09569269,PCT/US00/13291,2000-05-12,CON
09569269,10637313,2003-08-08,CIP
09569269,09999385,2001-10-31,CON
09569269,10384974,2003-03-10,CIP
09569269,09998966,2001-10-31,CON
09569269,10081407,2002-02-21,CIP
09569270,10862479,2004-06-07,CIP
09569273,10059755,2002-01-29,CIP
09569275,10115412,2002-04-03,CON
09569276,11102576,2005-04-07,CON
09569276,12687906,2010-01-15,CON
09569276,09723596,2000-11-28,DIV
09569276,10295019,2002-11-14,CON
09569276,09901206,2001-07-09,CON
