application_number,child_application_number,child_filing_date,continuation_type
10141256,10864233,2004-06-09,CON
10141256,10395746,2003-03-24,CON
10141258,11145611,2005-06-06,DIV
10141258,10845828,2004-05-14,DIV
10141258,PCT/US03/08065,2003-03-19,CON
10141260,11365756,2006-03-01,CIP
10141261,12185509,2008-08-04,CON
10141262,12206363,2008-09-08,CON
10141262,12938056,2010-11-02,CON
10141267,11399841,2006-04-07,CON
10141267,PCT/US02/29412,2002-09-17,CON
10141271,10901517,2004-07-29,CON
10141271,11319241,2005-12-28,CON
10141273,12584514,2009-09-08,DIV
10141273,10758777,2004-01-16,DIV
10141273,11650887,2007-01-08,DIV
10141275,PCT/US02/21816,2002-07-10,CON
10141281,PCT/US03/14335,2003-05-07,CON
10141283,PCT/US03/14499,2003-05-08,CON
10141288,PCT/US03/14270,2003-05-08,CON
10141290,PCT/US03/14313,2003-05-07,CON
10141293,10983942,2004-11-08,CIP
10141294,11678857,2007-02-26,DIV
10141294,10925604,2004-08-24,DIV
10141308,13397620,2012-02-15,REI
10141311,PCT/US03/14872,2003-05-08,CON
10141311,10400460,2003-03-28,CIP
10141313,10277289,2002-10-22,CON
10141313,10430169,2003-05-05,CON
10141315,PCT/US03/11516,2003-04-14,CON
10141320,11533959,2006-09-21,DIV
10141321,PCT/US03/03909,2003-02-11,CON
10141322,PCT/US03/00731,2003-01-10,CON
10141322,10736882,2003-12-16,DIV
10141327,13526424,2012-06-18,CON
10141337,11203186,2005-08-15,CIP
10141339,10877902,2004-06-25,DIV
10141341,11183818,2005-07-19,DIV
10141342,11711630,2007-02-28,CON
10141342,13589511,2012-08-20,CON
10141342,14148351,2014-01-06,CON
10141342,12766725,2010-04-23,CON
10141342,12010655,2008-01-28,CON
10141344,11300344,2005-12-15,DIV
10141348,11343382,2006-01-30,DIV
10141357,11004763,2004-12-03,CIP
10141357,11003150,2004-12-03,CIP
10141357,11004107,2004-12-03,CIP
10141358,10854776,2004-05-25,CIP
10141358,11642383,2006-12-19,CIP
10141358,10936156,2004-09-07,CIP
10141358,10900878,2004-07-27,CIP
10141358,11155209,2005-06-16,CIP
10141358,10897797,2004-07-22,CIP
10141359,11642059,2006-12-18,CON
10141363,10800720,2004-03-16,CON
10141370,11359822,2006-02-22,CON
10141370,12605117,2009-10-23,CON
10141370,PCT/US03/13949,2003-05-05,CON
10141372,PCT/US03/14278,2003-05-08,CON
10141374,12235421,2008-09-22,DIV
10141374,11522504,2006-09-15,DIV
10141374,10643673,2003-08-19,DIV
10141374,10643674,2003-08-19,DIV
10141374,14184559,2014-02-19,DIV
10141374,13531232,2012-06-22,DIV
10141375,PCT/US03/13199,2003-04-29,CON
10141375,10926319,2004-08-25,CON
10141375,12179536,2008-07-24,CIP
10141375,10750978,2003-12-31,CIP
10141377,11691287,2007-03-26,CON
10141377,10724249,2003-11-26,DIV
10141385,11440960,2006-05-25,DIV
10141385,12728021,2010-03-19,DIV
10141390,12273327,2008-11-18,DIV
10141390,11251058,2005-10-14,DIV
10141392,10734362,2003-12-11,CON
10141392,11186262,2005-07-21,CON
10141392,10819543,2004-04-07,CIP
10141392,11161474,2005-08-04,CIP
10141393,11270752,2005-11-08,CIP
10141401,PCT/US03/14604,2003-05-08,CON
10141404,10309617,2002-12-03,CIP
10141406,PCT/US02/20742,2002-07-01,CON
10141410,11141272,2005-05-31,CON
10141411,11433743,2006-05-12,CON
10141411,10729523,2003-12-05,CON
10141413,PCT/US03/12035,2003-04-18,CON
10141423,11617779,2006-12-29,DIV
10141423,11620262,2007-01-05,CIP
10141425,PCT/US02/35325,2002-11-04,CON
10141427,PCT/US03/13415,2003-04-30,CON
10141429,10360163,2003-04-16,CIP
10141429,11405064,2006-04-17,CIP
10141440,12434501,2009-05-01,REI
10141442,11297201,2005-12-08,CIP
10141442,11612876,2006-12-19,CON
10141444,PCT/US03/11421,2003-04-11,CON
10141447,10770919,2004-02-03,DIV
10141447,10770941,2004-02-03,DIV
10141447,10771085,2004-02-03,DIV
10141447,10672750,2003-09-25,DIV
10141447,11266972,2005-11-04,DIV
10141447,10771243,2004-02-03,DIV
10141448,10633796,2003-08-04,CON
10141448,11545277,2006-10-10,CON
10141451,11788322,2007-04-18,DIV
10141453,10713506,2003-11-14,CIP
10141457,11770178,2007-06-28,CIP
10141457,10822525,2004-04-12,CIP
10141459,11123274,2005-05-05,CON
10141459,11074274,2005-03-07,CON
10141459,11196876,2005-08-04,CON
10141467,10350760,2003-01-24,DIV
10141469,11285735,2005-11-22,REI
10141469,11711090,2007-02-26,REI
10141478,11436909,2006-05-18,DIV
10141481,10341572,2003-01-13,DIV
10141481,11343151,2006-01-30,DIV
10141481,11685932,2007-03-14,DIV
10141489,11535436,2006-09-26,CON
10141489,11029445,2005-01-04,CON
10141493,PCT/US02/14707,2002-05-09,CON
10141493,11057656,2005-02-14,CIP
10141494,12135802,2008-06-09,CON
10141494,11510408,2006-08-25,CON
10141496,11077593,2005-03-10,CON
10141501,10874630,2004-06-22,DIV
10141503,PCT/US03/12795,2003-04-24,CON
10141505,11124534,2005-05-05,DIV
10141506,10783883,2004-02-20,CON
10141506,12749320,2010-03-29,DIV
10141506,10801472,2004-03-16,CON
10141506,12727825,2010-03-19,CON
10141506,10783873,2004-02-20,CON
10141506,10822447,2004-04-08,DIV
10141506,12638386,2009-12-15,CON
10141506,12547348,2009-08-25,CON
10141506,10783375,2004-02-20,CON
10141506,10783888,2004-02-20,CON
10141506,10760322,2004-01-16,CON
10141506,10701865,2003-11-05,CON
10141506,12048017,2008-03-13,CON
10141506,10706425,2003-11-12,CON
10141506,12686195,2010-01-12,CON
10141506,11604976,2006-11-28,CON
10141506,12555680,2009-09-08,CON
10141506,10783437,2004-02-20,CON
10141506,10784005,2004-02-20,CON
10141506,10759969,2004-01-16,CON
10141506,12251208,2008-10-14,CON
10141506,10783587,2004-02-20,CON
10141506,10760167,2004-01-16,CON
10141506,12777436,2010-05-11,CON
10141506,10822462,2004-04-12,CON
10141506,10783477,2004-02-20,CON
10141506,12605903,2009-10-26,CON
10141506,10783572,2004-02-20,CON
10141506,11183704,2005-07-18,CON
10141506,12840276,2010-07-20,CON
10141506,10783894,2004-02-20,CON
10141506,12759501,2010-04-13,CON
10141506,10839373,2004-05-05,CON
10141506,10760035,2004-01-16,CON
10141506,10682591,2003-10-09,CON
10141506,12260850,2008-10-29,CON
10141506,10760057,2004-01-16,CON
10141506,13267150,2011-10-06,CON
10141508,11175003,2005-07-05,CON
10141508,PCT/US02/36206,2002-10-21,CON
10141509,10211064,2002-08-02,CIP
10141510,12641171,2009-12-17,CIP
10141510,12079049,2008-03-24,CIP
10141510,11716266,2007-03-09,CIP
10141510,10212472,2002-08-05,CIP
10141510,PCT/US03/13883,2003-05-02,CON
10141510,11973526,2007-10-09,DIV
10141515,PCT/US03/11734,2003-04-15,CON
10141515,11253271,2005-10-18,DIV
10141517,10410699,2003-04-08,CIP
10141520,13742766,2013-01-16,CON
10141520,14462954,2014-08-19,CON
10141520,12758796,2010-04-12,CON
10141522,11498565,2006-08-03,DIV
10141522,10922625,2004-08-20,DIV
10141529,10699524,2003-10-30,CON
10141531,10290072,2002-11-06,CIP
10141531,11317571,2005-12-22,DIV
10141535,PCT/US03/13873,2003-05-02,CON
10141537,10807845,2004-03-24,CON
10141538,11384759,2006-03-20,CIP
10141538,13471989,2012-05-15,CIP
10141538,10402904,2003-03-28,CIP
10141545,10669825,2003-09-23,DIV
10141549,13595035,2012-08-27,CIP
10141549,12485694,2009-06-16,CIP
10141550,10788945,2004-02-25,CON
10141553,10617700,2003-07-14,DIV
10141559,10624113,2003-07-21,DIV
10141561,12070233,2008-02-15,CON
10141561,11254567,2005-10-20,CON
10141561,10620271,2003-07-14,CON
10141569,13795565,2013-03-12,CON
10141582,11418510,2006-05-04,DIV
10141582,10750207,2003-12-31,DIV
10141593,11029714,2005-01-05,DIV
10141593,12041803,2008-03-04,DIV
10141595,10757893,2004-01-15,CIP
10141595,PCT/US03/14889,2003-05-08,CON
10141596,10610842,2003-06-30,DIV
10141597,10375472,2003-02-27,DIV
10141599,12485694,2009-06-16,CIP
10141599,10895551,2004-07-20,CON
10141599,13595035,2012-08-27,CIP
10141602,10979428,2004-11-02,CON
10141612,PCT/US03/14295,2003-05-06,CON
10141614,11080316,2005-03-14,DIV
10141615,PCT/US03/14267,2003-05-08,CON
10141617,PCT/US03/11664,2003-04-16,CON
10141618,11638615,2006-12-12,DIV
